timestamp,L_raw,R_raw,L_norm,R_norm,L_smooth,R_smooth,anomaly
1751358376.3451235,0,0,0.00,0.00,0.00,0.00,False
1751358376.6237614,0,0,0.00,0.00,0.00,0.00,False
1751358376.8358803,0,0,0.00,0.00,0.00,0.00,False
1751358377.0080616,0,0,0.00,0.00,0.00,0.00,False
1751358377.2675648,0,0,0.00,0.00,0.00,0.00,False
1751358377.461247,0,0,0.00,0.00,0.00,0.00,False
1751358377.6750617,0,0,0.00,0.00,0.00,0.00,False
1751358377.8766973,0,0,0.00,0.00,0.00,0.00,False
1751358378.0756052,0,0,0.00,0.00,0.00,0.00,False
1751358378.2660923,0,0,0.00,0.00,0.00,0.00,False
1751358378.4448392,0,0,0.00,0.00,0.00,0.00,False
1751358378.6511202,0,0,0.00,0.00,0.00,0.00,False
1751358378.806937,0,0,0.00,0.00,0.00,0.00,False
1751358378.9155955,0,0,0.00,0.00,0.00,0.00,False
1751358379.0532389,0,0,0.00,0.00,0.00,0.00,False
1751358379.1955202,0,0,0.00,0.00,0.00,0.00,False
1751358379.302495,0,0,0.00,0.00,0.00,0.00,False
1751358379.459157,0,0,0.00,0.00,0.00,0.00,False
1751358379.8412776,0,0,0.00,0.00,0.00,0.00,False
1751358380.06818,0,0,0.00,0.00,0.00,0.00,False
1751358380.2203507,0,0,0.00,0.00,0.00,0.00,False
1751358380.3753536,0,0,0.00,0.00,0.00,0.00,False
1751358380.5116405,0,0,0.00,0.00,0.00,0.00,False
1751358380.6298954,0,0,0.00,0.00,0.00,0.00,False
1751358380.7600312,0,0,0.00,0.00,0.00,0.00,False
1751358380.8700833,0,0,0.00,0.00,0.00,0.00,False
1751358380.9659538,0,0,0.00,0.00,0.00,0.00,False
1751358381.0710006,0,0,0.00,0.00,0.00,0.00,False
1751358381.1689868,0,0,0.00,0.00,0.00,0.00,False
1751358381.263732,0,0,0.00,0.00,0.00,0.00,False
1751358381.35805,0,0,0.00,0.00,0.00,0.00,False
1751358381.4585128,0,0,0.00,0.00,0.00,0.00,False
1751358381.5477266,0,0,0.00,0.00,0.00,0.00,False
1751358381.6362875,0,0,0.00,0.00,0.00,0.00,False
1751358381.720906,0,0,0.00,0.00,0.00,0.00,False
1751358381.8237064,0,0,0.00,0.00,0.00,0.00,False
1751358381.9198043,0,0,0.00,0.00,0.00,0.00,False
1751358382.022489,0,0,0.00,0.00,0.00,0.00,False
1751358382.1226203,0,0,0.00,0.00,0.00,0.00,False
1751358382.2503204,0,0,0.00,0.00,0.00,0.00,False
1751358382.361834,0,0,0.00,0.00,0.00,0.00,False
1751358382.4914076,0,0,0.00,0.00,0.00,0.00,False
1751358382.592497,0,0,0.00,0.00,0.00,0.00,False
1751358382.7271256,11.768702507019043,6.082862854003906,1.54,0.83,1.54,0.83,True
1751358382.969746,9.219644546508789,8.558721542358398,1.21,1.17,1.37,1.00,False
1751358383.1578536,11.180439949035645,8.139510154724121,1.46,1.11,1.40,1.04,True
1751358383.321612,16.124614715576172,9.34087085723877,2.11,1.28,1.58,1.10,True
1751358383.4931078,7.017934322357178,8.631438255310059,0.92,1.18,1.45,1.12,True
1751358383.6480277,10.547611236572266,10.111974716186523,1.38,1.38,1.41,1.23,True
1751358383.7869124,10.547611236572266,10.210878372192383,1.38,1.40,1.45,1.27,True
1751358383.912527,10.547611236572266,11.683745384216309,1.38,1.60,1.43,1.37,True
1751358384.023322,10.606701850891113,17.564268112182617,1.39,2.40,1.29,1.59,True
1751358384.1683443,10.111974716186523,18.110870361328125,1.32,2.48,1.37,1.85,True
1751358384.2948143,9.823541641235352,18.741764068603516,1.28,2.57,1.35,2.09,True
1751358384.4143305,0,0,0.00,0.00,0.00,0.00,False
1751358384.5276873,0,0,0.00,0.00,0.00,0.00,False
1751358384.6549823,0,0,0.00,0.00,0.00,0.00,False
1751358384.763771,0,0,0.00,0.00,0.00,0.00,False
1751358384.8744967,0,0,0.00,0.00,0.00,0.00,False
1751358384.973265,0,0,0.00,0.00,0.00,0.00,False
1751358385.071008,0,0,0.00,0.00,0.00,0.00,False
1751358385.1757133,0,0,0.00,0.00,0.00,0.00,False
1751358385.2903697,0,0,0.00,0.00,0.00,0.00,False
1751358385.3981414,0,0,0.00,0.00,0.00,0.00,False
1751358385.5118349,0,0,0.00,0.00,0.00,0.00,False
1751358385.6225536,0,0,0.00,0.00,0.00,0.00,False
1751358385.7847705,0,0,0.00,0.00,0.00,0.00,False
1751358385.9156306,0,0,0.00,0.00,0.00,0.00,False
1751358386.0433462,0,0,0.00,0.00,0.00,0.00,False
1751358386.1607893,0,0,0.00,0.00,0.00,0.00,False
1751358386.254998,0,0,0.00,0.00,0.00,0.00,False
1751358386.3598096,0,0,0.00,0.00,0.00,0.00,False
1751358386.4674907,0,0,0.00,0.00,0.00,0.00,False
1751358386.5678842,0,0,0.00,0.00,0.00,0.00,False
1751358386.6724472,0,0,0.00,0.00,0.00,0.00,False
1751358386.7779126,0,0,0.00,0.00,0.00,0.00,False
1751358386.891492,0,0,0.00,0.00,0.00,0.00,False
1751358386.991415,0,0,0.00,0.00,0.00,0.00,False
1751358387.0942557,0,0,0.00,0.00,0.00,0.00,False
1751358387.2009678,0,0,0.00,0.00,0.00,0.00,False
1751358387.3007393,0,0,0.00,0.00,0.00,0.00,False
1751358387.4038162,0,0,0.00,0.00,0.00,0.00,False
1751358387.4991915,0,0,0.00,0.00,0.00,0.00,False
1751358387.5835116,0,0,0.00,0.00,0.00,0.00,False
1751358387.6725686,0,0,0.00,0.00,0.00,0.00,False
1751358387.771462,0,0,0.00,0.00,0.00,0.00,False
1751358387.8812075,0,0,0.00,0.00,0.00,0.00,False
1751358387.9909873,0,0,0.00,0.00,0.00,0.00,False
1751358388.105245,0,0,0.00,0.00,0.00,0.00,False
1751358388.2145407,0,0,0.00,0.00,0.00,0.00,False
1751358388.3878212,0,0,0.00,0.00,0.00,0.00,False
1751358388.5226393,0,0,0.00,0.00,0.00,0.00,False
1751358388.6588285,0,0,0.00,0.00,0.00,0.00,False
1751358388.826329,0,0,0.00,0.00,0.00,0.00,False
1751358388.9821975,0,0,0.00,0.00,0.00,0.00,False
1751358389.1627736,0,0,0.00,0.00,0.00,0.00,False
1751358389.324863,0,0,0.00,0.00,0.00,0.00,False
1751358389.4518275,0,0,0.00,0.00,0.00,0.00,False
1751358389.5815372,0,0,0.00,0.00,0.00,0.00,False
1751358389.774625,0,0,0.00,0.00,0.00,0.00,False
1751358389.931311,0,0,0.00,0.00,0.00,0.00,False
1751358390.0755558,0,0,0.00,0.00,0.00,0.00,False
1751358390.2198832,0,0,0.00,0.00,0.00,0.00,False
1751358390.3605583,0,0,0.00,0.00,0.00,0.00,False
1751358390.5363083,0,0,0.00,0.00,0.00,0.00,False
1751358390.6680124,0,0,0.00,0.00,0.00,0.00,False
1751358390.8032334,0,0,0.00,0.00,0.00,0.00,False
1751358390.9278984,0,0,0.00,0.00,0.00,0.00,False
1751358391.1120586,0,0,0.00,0.00,0.00,0.00,False
1751358391.2404022,0,0,0.00,0.00,0.00,0.00,False
1751358391.3760865,0,0,0.00,0.00,0.00,0.00,False
1751358391.5353482,0,0,0.00,0.00,0.00,0.00,False
1751358391.708833,0,0,0.00,0.00,0.00,0.00,False
1751358391.8976738,0,0,0.00,0.00,0.00,0.00,False
1751358392.0658865,0,0,0.00,0.00,0.00,0.00,False
1751358392.236304,0,0,0.00,0.00,0.00,0.00,False
1751358392.3942592,0,0,0.00,0.00,0.00,0.00,False
1751358392.5707226,0,0,0.00,0.00,0.00,0.00,False
1751358392.9117332,0,0,0.00,0.00,0.00,0.00,False
1751358393.2381651,0,0,0.00,0.00,0.00,0.00,False
1751358393.4310124,0,0,0.00,0.00,0.00,0.00,False
1751358393.6093814,0,0,0.00,0.00,0.00,0.00,False
1751358393.8080978,0,0,0.00,0.00,0.00,0.00,False
1751358393.9749143,0,0,0.00,0.00,0.00,0.00,False
1751358394.1337597,0,0,0.00,0.00,0.00,0.00,False
1751358394.2908964,0,0,0.00,0.00,0.00,0.00,False
1751358394.4383512,0,0,0.00,0.00,0.00,0.00,False
1751358394.835042,0,0,0.00,0.00,0.00,0.00,False
1751358395.0958683,0,0,0.00,0.00,0.00,0.00,False
1751358395.3424902,0,0,0.00,0.00,0.00,0.00,False
1751358395.509319,0,0,0.00,0.00,0.00,0.00,False
1751358395.6466475,0,0,0.00,0.00,0.00,0.00,False
1751358395.8154292,0,0,0.00,0.00,0.00,0.00,False
1751358395.944479,0,0,0.00,0.00,0.00,0.00,False
1751358396.0596037,0,0,0.00,0.00,0.00,0.00,False
1751358396.5355492,0,0,0.00,0.00,0.00,0.00,False
1751358396.7050142,0,0,0.00,0.00,0.00,0.00,False
1751358396.838515,0,0,0.00,0.00,0.00,0.00,False
1751358396.9848423,0,0,0.00,0.00,0.00,0.00,False
1751358397.1275773,0,0,0.00,0.00,0.00,0.00,False
1751358397.256928,0,0,0.00,0.00,0.00,0.00,False
1751358397.369306,0,0,0.00,0.00,0.00,0.00,False
1751358397.486695,0,0,0.00,0.00,0.00,0.00,False
1751358397.6039793,0,0,0.00,0.00,0.00,0.00,False
1751358397.714237,0,0,0.00,0.00,0.00,0.00,False
1751358397.840901,0,0,0.00,0.00,0.00,0.00,False
1751358397.951783,0,0,0.00,0.00,0.00,0.00,False
1751358398.0891922,0,0,0.00,0.00,0.00,0.00,False
1751358398.3312185,0,0,0.00,0.00,0.00,0.00,False
1751358398.4946182,0,0,0.00,0.00,0.00,0.00,False
1751358398.6475923,0,0,0.00,0.00,0.00,0.00,False
1751358398.8483667,0,0,0.00,0.00,0.00,0.00,False
1751358399.0410547,0,0,0.00,0.00,0.00,0.00,False
1751358399.263626,0,0,0.00,0.00,0.00,0.00,False
1751358399.451506,0,0,0.00,0.00,0.00,0.00,False
1751358399.5994904,0,0,0.00,0.00,0.00,0.00,False
1751358400.3129318,0,0,0.00,0.00,0.00,0.00,False
1751358400.602122,0,0,0.00,0.00,0.00,0.00,False
1751358400.7882285,0,0,0.00,0.00,0.00,0.00,False
1751358400.9223387,0,0,0.00,0.00,0.00,0.00,False
1751358401.0401564,0,0,0.00,0.00,0.00,0.00,False
1751358401.1608617,0,0,0.00,0.00,0.00,0.00,False
1751358401.275609,0,0,0.00,0.00,0.00,0.00,False
1751358401.396343,0,0,0.00,0.00,0.00,0.00,False
1751358401.5188923,0,0,0.00,0.00,0.00,0.00,False
1751358401.6228104,0,0,0.00,0.00,0.00,0.00,False
1751358401.730473,0,0,0.00,0.00,0.00,0.00,False
1751358401.864601,0,0,0.00,0.00,0.00,0.00,False
1751358401.9779217,0,0,0.00,0.00,0.00,0.00,False
1751358402.0786533,0,0,0.00,0.00,0.00,0.00,False
1751358402.184208,0,0,0.00,0.00,0.00,0.00,False
1751358402.2984705,0,0,0.00,0.00,0.00,0.00,False
1751358402.3994405,0,0,0.00,0.00,0.00,0.00,False
1751358402.497699,0,0,0.00,0.00,0.00,0.00,False
1751358402.5944395,0,0,0.00,0.00,0.00,0.00,False
1751358402.6968634,0,0,0.00,0.00,0.00,0.00,False
1751358402.8181598,0,0,0.00,0.00,0.00,0.00,False
1751358402.9407647,0,0,0.00,0.00,0.00,0.00,False
1751358403.0522053,0,0,0.00,0.00,0.00,0.00,False
1751358403.188918,0,0,0.00,0.00,0.00,0.00,False
1751358403.3145335,0,0,0.00,0.00,0.00,0.00,False
1751358403.427211,0,0,0.00,0.00,0.00,0.00,False
1751358403.539537,0,0,0.00,0.00,0.00,0.00,False
1751358403.6577957,0,0,0.00,0.00,0.00,0.00,False
1751358403.765125,0,0,0.00,0.00,0.00,0.00,False
1751358403.8970268,0,0,0.00,0.00,0.00,0.00,False
1751358404.0057418,0,0,0.00,0.00,0.00,0.00,False
1751358404.118184,0,0,0.00,0.00,0.00,0.00,False
1751358404.2258089,0,0,0.00,0.00,0.00,0.00,False
1751358404.336121,0,0,0.00,0.00,0.00,0.00,False
1751358404.4523056,0,0,0.00,0.00,0.00,0.00,False
1751358404.5610611,0,0,0.00,0.00,0.00,0.00,False
1751358404.6740894,0,0,0.00,0.00,0.00,0.00,False
1751358404.79436,0,0,0.00,0.00,0.00,0.00,False
1751358404.9051216,0,0,0.00,0.00,0.00,0.00,False
1751358405.0088863,0,0,0.00,0.00,0.00,0.00,False
1751358405.112607,0,0,0.00,0.00,0.00,0.00,False
1751358405.22234,0,0,0.00,0.00,0.00,0.00,False
1751358405.3401222,0,0,0.00,0.00,0.00,0.00,False
1751358405.4865074,0,0,0.00,0.00,0.00,0.00,False
1751358405.6128836,0,0,0.00,0.00,0.00,0.00,False
1751358405.744587,0,0,0.00,0.00,0.00,0.00,False
1751358405.8777525,0,0,0.00,0.00,0.00,0.00,False
1751358405.9958003,0,0,0.00,0.00,0.00,0.00,False
1751358406.110037,0,0,0.00,0.00,0.00,0.00,False
1751358406.22428,0,0,0.00,0.00,0.00,0.00,False
1751358406.3349826,0,0,0.00,0.00,0.00,0.00,False
1751358406.4487867,0,0,0.00,0.00,0.00,0.00,False
1751358406.5565012,0,0,0.00,0.00,0.00,0.00,False
1751358406.660267,0,0,0.00,0.00,0.00,0.00,False
1751358406.76006,0,0,0.00,0.00,0.00,0.00,False
1751358406.8732946,0,0,0.00,0.00,0.00,0.00,False
1751358406.9740236,0,0,0.00,0.00,0.00,0.00,False
1751358407.0774155,0,0,0.00,0.00,0.00,0.00,False
1751358407.1756434,0,0,0.00,0.00,0.00,0.00,False
1751358407.2750564,0,0,0.00,0.00,0.00,0.00,False
1751358407.3767831,0,0,0.00,0.00,0.00,0.00,False
1751358407.4930856,0,0,0.00,0.00,0.00,0.00,False
1751358407.5943766,0,0,0.00,0.00,0.00,0.00,False
1751358407.6714423,0,0,0.00,0.00,0.00,0.00,False
1751358407.7701826,0,0,0.00,0.00,0.00,0.00,False
1751358407.8784559,0,0,0.00,0.00,0.00,0.00,False
1751358408.011586,0,0,0.00,0.00,0.00,0.00,False
1751358408.126406,0,0,0.00,0.00,0.00,0.00,False
1751358408.2683268,0,0,0.00,0.00,0.00,0.00,False
1751358408.4250958,0,0,0.00,0.00,0.00,0.00,False
1751358408.528994,0,0,0.00,0.00,0.00,0.00,False
1751358408.6388075,0,0,0.00,0.00,0.00,0.00,False
1751358408.7512465,0,0,0.00,0.00,0.00,0.00,False
1751358408.867762,0,0,0.00,0.00,0.00,0.00,False
1751358408.9785964,0,0,0.00,0.00,0.00,0.00,False
1751358409.0869455,0,0,0.00,0.00,0.00,0.00,False
1751358409.1928937,0,0,0.00,0.00,0.00,0.00,False
1751358409.3072143,0,0,0.00,0.00,0.00,0.00,False
1751358409.4197145,0,0,0.00,0.00,0.00,0.00,False
1751358409.5292656,0,0,0.00,0.00,0.00,0.00,False
1751358409.6362185,0,0,0.00,0.00,0.00,0.00,False
1751358409.7514722,0,0,0.00,0.00,0.00,0.00,False
1751358409.861876,0,0,0.00,0.00,0.00,0.00,False
1751358409.9729295,0,0,0.00,0.00,0.00,0.00,False
1751358410.0806415,0,0,0.00,0.00,0.00,0.00,False
1751358410.1914752,0,0,0.00,0.00,0.00,0.00,False
1751358410.3011956,0,0,0.00,0.00,0.00,0.00,False
1751358410.409877,0,0,0.00,0.00,0.00,0.00,False
1751358410.5472991,0,0,0.00,0.00,0.00,0.00,False
1751358410.7014048,0,0,0.00,0.00,0.00,0.00,False
1751358410.838741,0,0,0.00,0.00,0.00,0.00,False
1751358410.9736538,0,0,0.00,0.00,0.00,0.00,False
1751358411.092614,0,0,0.00,0.00,0.00,0.00,False
1751358411.2070835,0,0,0.00,0.00,0.00,0.00,False
1751358411.3188264,0,0,0.00,0.00,0.00,0.00,False
1751358411.4262376,0,0,0.00,0.00,0.00,0.00,False
1751358411.5370224,0,0,0.00,0.00,0.00,0.00,False
1751358411.6437337,0,0,0.00,0.00,0.00,0.00,False
1751358411.751454,0,0,0.00,0.00,0.00,0.00,False
1751358411.855749,0,0,0.00,0.00,0.00,0.00,False
1751358411.957511,0,0,0.00,0.00,0.00,0.00,False
1751358412.0622244,0,0,0.00,0.00,0.00,0.00,False
1751358412.1660094,0,0,0.00,0.00,0.00,0.00,False
1751358412.269298,0,0,0.00,0.00,0.00,0.00,False
1751358412.3734956,0,0,0.00,0.00,0.00,0.00,False
1751358412.4782784,0,0,0.00,0.00,0.00,0.00,False
1751358412.584462,0,0,0.00,0.00,0.00,0.00,False
1751358412.680345,0,0,0.00,0.00,0.00,0.00,False
1751358412.7697904,0,0,0.00,0.00,0.00,0.00,False
1751358412.861608,0,0,0.00,0.00,0.00,0.00,False
1751358412.9606717,0,0,0.00,0.00,0.00,0.00,False
1751358413.062382,0,0,0.00,0.00,0.00,0.00,False
1751358413.198661,0,0,0.00,0.00,0.00,0.00,False
1751358413.3204482,0,0,0.00,0.00,0.00,0.00,False
1751358413.4512775,0,0,0.00,0.00,0.00,0.00,False
1751358413.5782354,0,0,0.00,0.00,0.00,0.00,False
1751358413.6734354,0,0,0.00,0.00,0.00,0.00,False
1751358413.7894068,0,0,0.00,0.00,0.00,0.00,False
1751358413.903251,0,0,0.00,0.00,0.00,0.00,False
1751358414.0141497,0,0,0.00,0.00,0.00,0.00,False
1751358414.1213503,0,0,0.00,0.00,0.00,0.00,False
1751358414.2314377,0,0,0.00,0.00,0.00,0.00,False
1751358414.3377347,0,0,0.00,0.00,0.00,0.00,False
1751358414.446335,0,0,0.00,0.00,0.00,0.00,False
1751358414.5561745,0,0,0.00,0.00,0.00,0.00,False
1751358414.6658683,0,0,0.00,0.00,0.00,0.00,False
1751358414.779509,0,0,0.00,0.00,0.00,0.00,False
1751358414.8943756,0,0,0.00,0.00,0.00,0.00,False
1751358414.9978054,0,0,0.00,0.00,0.00,0.00,False
1751358415.122387,0,0,0.00,0.00,0.00,0.00,False
1751358415.2397785,0,0,0.00,0.00,0.00,0.00,False
1751358415.3524706,0,0,0.00,0.00,0.00,0.00,False
1751358415.4577787,0,0,0.00,0.00,0.00,0.00,False
1751358415.5624988,0,0,0.00,0.00,0.00,0.00,False
1751358415.7570748,0,0,0.00,0.00,0.00,0.00,False
1751358415.9133916,0,0,0.00,0.00,0.00,0.00,False
1751358416.026857,0,0,0.00,0.00,0.00,0.00,False
1751358416.1611967,0,0,0.00,0.00,0.00,0.00,False
1751358416.271135,0,0,0.00,0.00,0.00,0.00,False
1751358416.3907373,0,0,0.00,0.00,0.00,0.00,False
1751358416.4964569,0,0,0.00,0.00,0.00,0.00,False
1751358416.603013,0,0,0.00,0.00,0.00,0.00,False
1751358416.7112536,0,0,0.00,0.00,0.00,0.00,False
1751358416.8291707,0,0,0.00,0.00,0.00,0.00,False
1751358416.9698045,0,0,0.00,0.00,0.00,0.00,False
1751358417.1415985,0,0,0.00,0.00,0.00,0.00,False
1751358417.3077197,0,0,0.00,0.00,0.00,0.00,False
1751358417.408497,0,0,0.00,0.00,0.00,0.00,False
1751358417.5209885,0,0,0.00,0.00,0.00,0.00,False
1751358417.624232,0,0,0.00,0.00,0.00,0.00,False
1751358417.7236304,0,0,0.00,0.00,0.00,0.00,False
1751358417.833867,0,0,0.00,0.00,0.00,0.00,False
1751358417.9328668,0,0,0.00,0.00,0.00,0.00,False
1751358418.0283432,0,0,0.00,0.00,0.00,0.00,False
1751358418.130996,0,0,0.00,0.00,0.00,0.00,False
1751358418.2392108,0,0,0.00,0.00,0.00,0.00,False
1751358418.3983946,0,0,0.00,0.00,0.00,0.00,False
1751358418.5352545,0,0,0.00,0.00,0.00,0.00,False
1751358418.6808867,0,0,0.00,0.00,0.00,0.00,False
1751358418.8085613,0,0,0.00,0.00,0.00,0.00,False
1751358418.9183297,0,0,0.00,0.00,0.00,0.00,False
1751358419.0291185,0,0,0.00,0.00,0.00,0.00,False
1751358419.1370747,0,0,0.00,0.00,0.00,0.00,False
1751358419.245062,0,0,0.00,0.00,0.00,0.00,False
1751358419.3578155,0,0,0.00,0.00,0.00,0.00,False
1751358419.4698923,0,0,0.00,0.00,0.00,0.00,False
1751358419.5769641,0,0,0.00,0.00,0.00,0.00,False
1751358419.6862824,0,0,0.00,0.00,0.00,0.00,False
1751358419.7980201,0,0,0.00,0.00,0.00,0.00,False
1751358419.9208505,0,0,0.00,0.00,0.00,0.00,False
1751358420.0466893,0,0,0.00,0.00,0.00,0.00,False
1751358420.1713557,0,0,0.00,0.00,0.00,0.00,False
1751358420.2747276,0,0,0.00,0.00,0.00,0.00,False
1751358420.380489,0,0,0.00,0.00,0.00,0.00,False
1751358420.4882014,0,0,0.00,0.00,0.00,0.00,False
1751358420.5979698,0,0,0.00,0.00,0.00,0.00,False
1751358420.709125,0,0,0.00,0.00,0.00,0.00,False
1751358420.8570757,0,0,0.00,0.00,0.00,0.00,False
1751358421.0197086,0,0,0.00,0.00,0.00,0.00,False
1751358421.1348734,0,0,0.00,0.00,0.00,0.00,False
1751358421.2643294,0,0,0.00,0.00,0.00,0.00,False
1751358421.3795207,0,0,0.00,0.00,0.00,0.00,False
1751358421.4661484,0,0,0.00,0.00,0.00,0.00,False
1751358421.571441,0,0,0.00,0.00,0.00,0.00,False
1751358421.6736588,0,0,0.00,0.00,0.00,0.00,False
1751358421.7865975,0,0,0.00,0.00,0.00,0.00,False
1751358421.9004962,0,0,0.00,0.00,0.00,0.00,False
1751358422.0102203,0,0,0.00,0.00,0.00,0.00,False
1751358422.1175022,0,0,0.00,0.00,0.00,0.00,False
1751358422.2136905,0,0,0.00,0.00,0.00,0.00,False
1751358422.3130226,0,0,0.00,0.00,0.00,0.00,False
1751358422.4122293,0,0,0.00,0.00,0.00,0.00,False
1751358422.518537,0,0,0.00,0.00,0.00,0.00,False
1751358422.618803,0,0,0.00,0.00,0.00,0.00,False
1751358422.720067,0,0,0.00,0.00,0.00,0.00,False
1751358422.8220196,0,0,0.00,0.00,0.00,0.00,False
